architecture,split,bit,scope_type,scope_value,ambiguous_excluded_from_split,records,positives,negatives,auroc,auprc,accuracy,balanced_accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,true_positive,true_negative,false_positive,false_negative
online,validation,read_off,layer,5,26,6,1,5,0.0,0.16666666666666666,0.8333333333333334,0.5,0.0,0.0,0.0,0.0,1.0,0,5,0,1
online,validation,read_off,layer,6,26,5,0,5,nan,nan,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0,5,0,0
online,validation,read_off,layer,7,26,11,3,8,0.2916666666666667,0.25,0.7272727272727273,0.5,0.0,0.0,0.0,0.0,1.0,0,8,0,3
online,validation,read_off,layer,8,26,9,1,8,0.375,0.16666666666666666,0.7777777777777778,0.4375,0.0,0.0,0.0,0.125,1.0,0,7,1,1
online,validation,read_off,layer,9,26,12,4,8,0.625,0.5075757575757576,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,1.0,0,8,0,4
online,validation,read_off,layer,10,26,1,0,1,nan,nan,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0,1,0,0
online,validation,read_off,layer,11,26,4,1,3,0.3333333333333333,0.3333333333333333,0.75,0.5,0.0,0.0,0.0,0.0,1.0,0,3,0,1
online,validation,read_off,layer,12,26,4,1,3,0.3333333333333333,0.3333333333333333,0.75,0.5,0.0,0.0,0.0,0.0,1.0,0,3,0,1
online,validation,read_off,layer,13,26,12,3,9,0.7407407407407407,0.625,0.75,0.5,0.0,0.0,0.0,0.0,1.0,0,9,0,3
online,validation,read_off,layer,14,26,19,6,13,0.8205128205128205,0.7708333333333334,0.8421052631578947,0.75,1.0,0.5,0.6666666666666666,0.0,0.5,3,13,0,3
online,validation,read_off,layer,15,26,11,4,7,0.5714285714285714,0.6833333333333333,0.7272727272727273,0.625,1.0,0.25,0.4,0.0,0.75,1,7,0,3
online,validation,read_off,layer,16,26,13,6,7,0.47619047619047616,0.6158119658119658,0.6923076923076923,0.6785714285714286,0.75,0.5,0.6,0.14285714285714285,0.5,3,6,1,3
online,validation,read_off,layer,17,26,4,0,4,nan,nan,0.75,0.375,0.0,0.0,0.0,0.25,0.0,0,3,1,0
online,validation,read_off,layer,18,26,9,2,7,0.42857142857142855,0.26666666666666666,0.7777777777777778,0.5,0.0,0.0,0.0,0.0,1.0,0,7,0,2
online,validation,read_off,layer,19,26,8,3,5,0.26666666666666666,0.38690476190476186,0.5,0.4,0.0,0.0,0.0,0.2,1.0,0,4,1,3
online,validation,read_off,layer,20,26,4,1,3,0.0,0.25,0.75,0.5,0.0,0.0,0.0,0.0,1.0,0,3,0,1
online,validation,read_off,layer,21,26,10,5,5,0.32,0.5523809523809524,0.6,0.6,1.0,0.2,0.33333333333333337,0.0,0.8,1,5,0,4
online,validation,read_off,layer,22,26,6,3,3,0.7777777777777778,0.8666666666666667,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,3,0,3
online,validation,read_off,layer,23,26,11,4,7,0.6071428571428571,0.6215277777777777,0.7272727272727273,0.625,1.0,0.25,0.4,0.0,0.75,1,7,0,3
online,validation,read_off,layer,24,26,6,2,4,0.625,0.7,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,1.0,0,4,0,2
online,validation,read_off,layer,25,26,10,4,6,0.5,0.5798611111111112,0.7,0.625,1.0,0.25,0.4,0.0,0.75,1,6,0,3
online,validation,read_off,layer,26,26,10,1,9,0.6666666666666666,0.25,0.8,0.4444444444444444,0.0,0.0,0.0,0.1111111111111111,1.0,0,8,1,1
online,validation,read_off,layer,27,26,4,2,2,0.5,0.75,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,2,0,2
online,validation,write_off,overall,all,26,230,70,160,0.4695535714285714,0.3447521246484597,0.7043478260869566,0.5223214285714286,0.6666666666666666,0.05714285714285714,0.10526315789473684,0.0125,0.9428571428571428,4,158,2,66
online,validation,write_off,dataset,gqa,26,77,23,54,0.47665056360708535,0.35798948977715395,0.7142857142857143,0.5217391304347826,1.0,0.043478260869565216,0.08333333333333333,0.0,0.9565217391304348,1,54,0,22
online,validation,write_off,dataset,chartqa,26,77,23,54,0.5434782608695652,0.43057756575691775,0.7142857142857143,0.534219001610306,0.6666666666666666,0.08695652173913043,0.15384615384615383,0.018518518518518517,0.9130434782608695,2,53,1,21
