architecture,split,target_action,predicted_IGNORE,predicted_READ_ONLY,predicted_WRITE_ONLY,predicted_FULL,support,precision,recall,f1,predicted_full_fraction
polar,train,IGNORE,71,3,1,54,129,0.8987341772151899,0.5503875968992248,0.6826923076923076,0.4186046511627907
polar,train,READ_ONLY,1,90,0,38,129,0.8823529411764706,0.6976744186046512,0.7792207792207793,0.29457364341085274
polar,train,WRITE_ONLY,0,1,88,39,128,0.8461538461538461,0.6875,0.7586206896551724,0.3046875
polar,train,FULL,7,8,15,482,512,0.7862969004893964,0.94140625,0.8568888888888889,0.94140625
polar,validation,IGNORE,0,0,1,32,33,0.0,0.0,0.0,0.9696969696969697
polar,validation,READ_ONLY,1,2,0,30,33,0.6666666666666666,0.06060606060606061,0.1111111111111111,0.9090909090909091
polar,validation,WRITE_ONLY,2,1,0,29,32,0.0,0.0,0.0,0.90625
polar,validation,FULL,2,0,4,122,128,0.5727699530516432,0.953125,0.7155425219941349,0.953125
